Title,Date,Link,Nevertheless
"[Игры Dreamcast] Быстрый взгляд на Unreal Tournament",19.06.2015,https://www.youtube.com/watch?v=PyejcDTPMco,0
"[Игры Dreamcast] быстрый взгляд на Mortal Kombat 4",22.06.2015,https://www.youtube.com/watch?v=tmDL6fydGBo,0
"Меня всё время спрашивают про Doom 4 [черновик]",23.06.2015,https://www.youtube.com/watch?v=aI8BJY5qoOw,0
"Взлом телевизора Samsung LC350, чтобы играл mpeg4",27.06.2015,https://www.youtube.com/watch?v=Y5Z746v94a0,0
"Обзор игры Journeyman Project Turbo",28.07.2015,https://www.youtube.com/watch?v=oWmz-twbolg,1
"Два слова про Windows 10",21.08.2015,https://www.youtube.com/watch?v=gkqpqaXMtjU,0
"Обзор дешевого планшета BQ-8055G",28.08.2015,https://www.youtube.com/watch?v=mfasZU5rQlw,0
"Смотр планшета Asus ZenPad 7.0 C",06.09.2015,https://www.youtube.com/watch?v=XLjEUUJUZ_s,0
"(16 бит тому назад S03E02) Обзор КПК Cybiko",13.09.2015,https://www.youtube.com/watch?v=hTsjczsiBLc,2
"Fallout 4",24.10.2015,https://www.youtube.com/watch?v=XAY195NoRjM,1
"(16 бит тому назад S03E03) Raspberry Pi 2",12.12.2015,https://www.youtube.com/watch?v=ZgiD35JrF9g,6
"(16 бит тому назад S03E04) Компьютер FM Towns и консоль Marty",14.01.2016,https://www.youtube.com/watch?v=BAqVHaRtUDg,0
"Проходим новый уровень Doom от Джона Ромеро",18.01.2016,https://www.youtube.com/watch?v=B9defZRTWdQ,1
"Я и MTV - 2",18.01.2016,https://www.youtube.com/watch?v=gDF8JuFQlqg,0
"(16 бит тому назад S03E05) Jedi Engine",14.02.2016,https://www.youtube.com/watch?v=9tc0JarVWuI,0
"Видео на салфетке: 20 лет QTest",25.02.2016,https://www.youtube.com/watch?v=3AOlhy7G9yY,1
"(16 бит тому назад S03E06) Minitel",14.03.2016,https://www.youtube.com/watch?v=2z-UWw_Scsk,0
"Видео на салфетке: Алькор и картриджи",21.03.2016,https://www.youtube.com/watch?v=bYirajv66uM,1
"Загадка ноутбука Acer",23.03.2016,https://www.youtube.com/watch?v=9Wu4katF1U8,0
"Загадка ноутбука Acer: часть вторая",25.03.2016,https://www.youtube.com/watch?v=Ks0J8pLfBf0,2
"Разгадка ноутбука Acer (3/3)",29.03.2016,https://www.youtube.com/watch?v=YYjpWWTmKAU,1
"Видео на салфетке: Посылка",03.04.2016,https://www.youtube.com/watch?v=lW52nB99xBk,2
"Железный Детектив: дело транспьютера",05.04.2016,https://www.youtube.com/watch?v=ZHUixLDrvfM,1
"Видео на салфетке: Посылка-2",15.04.2016,https://www.youtube.com/watch?v=aRb6DJFh4vM,0
"Железный Детектив На Салфетке: PEAK650VL2",21.04.2016,https://www.youtube.com/watch?v=aT1AFhU6xro,1
"ВнС: SEGA в России вчера и сегодня",03.05.2016,https://www.youtube.com/watch?v=2tkPe2GPctw,3
"10го выпуск на сайте, а я чёрти где",09.05.2016,https://www.youtube.com/watch?v=Jer3cs9b2UU,1
"Видео На Салфетке: Посылки не для обзоров",17.05.2016,https://www.youtube.com/watch?v=LwugdxvTZc0,3
"Железный Детектив и немного Спектрума",20.05.2016,https://www.youtube.com/watch?v=tUf35BeB-Rk,1
"Видео на Салфетке: Cisco и другой стафф.",31.05.2016,https://www.youtube.com/watch?v=iH1VmUhM9hA,1
"Видео на Салфетке: Жемчужины в коробках",01.06.2016,https://www.youtube.com/watch?v=BP-ufAiR4W0,0
"Видео на Салфетке: Тёплые ламповые загадки",02.06.2016,https://www.youtube.com/watch?v=AdHsnI8w3NU,0
"BeamMachine",16.06.2016,https://www.youtube.com/watch?v=cQH0Ruwe8XU,2
"Про Matrox, Amiga, Посылки и Загадки",21.06.2016,https://www.youtube.com/watch?v=MNLwH1FKEMo,6
"Cortex Amiga Floppy USB Emulator",23.06.2016,https://www.youtube.com/watch?v=T_GxVA-dnmo,1
"Amiga Jerry Mouse Adapter и пара посылок",30.06.2016,https://www.youtube.com/watch?v=NE2AYg31t4M,2
"[Bocha's WiiU] Donky Kong Country Tropical Freeze",09.09.2016,https://www.youtube.com/watch?v=I3ir85yz5-w,0
"[Bocha's WiiU] Ninja Gaiden 3",09.09.2016,https://www.youtube.com/watch?v=UTD_dX-idiQ,1
"[Bocha's WiiU] Splinter Cell Blacklist",09.09.2016,https://www.youtube.com/watch?v=hVk-XGZ79dU,0
"[Bocha's WiiU] Установка HomeBrew Channel на WiiU",09.09.2016,https://www.youtube.com/watch?v=uJg1pkciuqA,0
"3Dfx Voodoo 2 SLI своими руками",01.09.2017,https://www.youtube.com/watch?v=cVgQiulnk5E,0
"Практика по PowerMac G4 и посылка",27.07.2016,https://www.youtube.com/watch?v=O_oFvOkP4QE,3
"(16 бит тому назад S03E10) Трудный путь Apple к Mac OS X",14.07.2016,https://www.youtube.com/watch?v=Py-vUSRAcNM,3
"Железный Детектив: Дело Hackintosh",28.07.2016,https://www.youtube.com/watch?v=-MwB-ByCJkE,0
"Анонс интервью",30.07.2016,https://www.youtube.com/watch?v=jQmajlj_aQ4,0
"И снова посылки и загадки",01.08.2016,https://www.youtube.com/watch?v=5wHt5n8zLr0,2
"(16 бит тому назад S03E11) Atari Lynx",14.08.2016,https://www.youtube.com/watch?v=oupFeEN4PgE,1
"Посылка и ""Поиск Предметов""",05.09.2016,https://www.youtube.com/watch?v=rN3txGbFZnc,0
"Ritmix RZX-50 - первое включение",05.09.2016,https://www.youtube.com/watch?v=GixlxYlLS3o,0
"(16 бит тому назад S03E12) Nintendo Wii U и NX",09.09.2016,https://www.youtube.com/watch?v=uKyqwdTvqco,1
"Собираем 486",14.09.2016,https://www.youtube.com/watch?v=8eFUo39_ZZk,0
"Делаем первый upgrade 486му.",15.09.2016,https://www.youtube.com/watch?v=TlKsSu2etXY,3
"Ставим Windows 95 на 486",18.09.2016,https://www.youtube.com/watch?v=a1RvccBDTw4,4
"Вышел iPhone 7 :-)",27.09.2016,https://www.youtube.com/watch?v=51TBfl-kK2g,3
"Roland MT-32 - Подготовка к тестам",04.10.2016,https://www.youtube.com/watch?v=R5PeXjCHIu0,3
"386й ноутбук возвращается: Звук!",01.09.2017,https://www.youtube.com/watch?v=3rtj_jx8bck,4
"Оживляем ThinkPad на Pentium 2",16.08.2017,https://www.youtube.com/watch?v=hvo5auh7cqU,4
"(16 бит тому назад S03E13) VR-шлем VFX1",14.10.2016,https://www.youtube.com/watch?v=Et3KPENzPYg,3
"Тестируем Roland MT-32",23.10.2016,https://www.youtube.com/watch?v=ECoC_Kf3Y-Y,9
"Roland MT-32 vs SoundBlaster AWE64",29.10.2016,https://www.youtube.com/watch?v=oTA4pz8eTTU,4
"(16 бит тому назад S03E14) Сервис Steam",14.11.2016,https://www.youtube.com/watch?v=In-2ZiAZTgM,5
